Date,Home,Team,Opp
2024-12-30,0,DEN,UTA
2025-01-01,1,DEN,ATL
2025-01-03,1,DEN,SAS
2025-01-04,0,DEN,SAS
2025-01-07,1,DEN,BOS
2025-01-08,1,DEN,LAC
