Date,Home,Team,Opp,Win,Points Scored,Opp Points Scored,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Win Percentage,Season
2024-10-23,1,ATL,BRK,1,120,116,39,80,0.488,9,28,0.321,33,46,0.717,12,45,25,12,9,16,20,40,91,0.44,17,43,0.395,19,25,0.76,12,43,21,8,6,19,32,0.0,2025
2024-10-25,1,ATL,CHO,1,125,120,39,81,0.481,14,38,0.368,33,38,0.868,7,39,25,11,9,14,28,37,96,0.385,21,51,0.412,25,31,0.806,22,53,22,7,4,18,28,1.0,2025
2024-10-27,0,ATL,OKC,0,104,128,36,91,0.396,10,31,0.323,22,29,0.759,17,49,24,7,4,20,23,44,89,0.494,16,40,0.4,24,32,0.75,11,45,26,13,12,10,23,1.0,2025
2024-10-28,1,ATL,WAS,0,119,121,39,81,0.481,15,40,0.375,26,36,0.722,6,39,32,12,7,16,22,41,91,0.451,21,44,0.477,18,22,0.818,9,43,24,7,3,18,25,0.6666666666666666,2025
2024-10-30,0,ATL,WAS,0,120,133,45,95,0.474,12,39,0.308,18,21,0.857,12,41,28,10,3,17,19,47,89,0.528,16,38,0.421,23,25,0.92,6,37,32,10,5,16,21,0.5,2025
2024-11-01,1,ATL,SAC,0,115,123,41,92,0.446,19,50,0.38,14,18,0.778,8,40,30,8,4,13,22,43,89,0.483,11,33,0.333,26,30,0.867,10,51,28,9,4,14,21,0.4,2025
2024-11-03,0,ATL,NOP,1,126,111,50,88,0.568,15,36,0.417,11,12,0.917,10,41,29,10,3,16,17,39,90,0.433,16,38,0.421,17,20,0.85,18,43,22,6,3,18,16,0.3333333333333333,2025
2024-11-04,1,ATL,BOS,0,93,123,37,89,0.416,6,31,0.194,13,16,0.813,8,43,23,9,3,20,13,48,99,0.485,18,55,0.327,9,13,0.692,11,50,27,15,7,13,14,0.4285714285714285,2025
2024-11-06,1,ATL,NYK,1,121,116,45,100,0.45,15,38,0.395,16,22,0.727,16,48,31,12,4,8,14,41,84,0.488,22,47,0.468,12,15,0.8,7,41,29,5,5,16,18,0.375,2025
2024-11-08,0,ATL,DET,0,121,122,44,97,0.454,15,36,0.417,18,23,0.783,15,44,30,12,7,18,21,44,86,0.512,13,33,0.394,21,31,0.677,11,45,27,7,8,21,18,0.4444444444444444,2025
2024-11-09,1,ATL,CHI,0,113,125,41,89,0.461,9,29,0.31,22,30,0.733,10,39,31,8,5,14,19,46,92,0.5,13,39,0.333,20,23,0.87,13,47,30,12,6,18,18,0.4,2025
2024-11-12,0,ATL,BOS,1,117,116,50,99,0.505,10,32,0.313,7,13,0.538,19,44,35,16,2,16,17,38,75,0.507,18,45,0.4,22,27,0.815,6,34,28,7,5,20,12,0.3636363636363636,2025
2024-11-15,1,ATL,WAS,1,129,117,46,98,0.469,12,37,0.324,25,30,0.833,15,55,28,10,10,16,17,43,106,0.406,15,43,0.349,16,21,0.762,13,52,28,11,5,16,23,0.4166666666666667,2025
2024-11-17,0,ATL,POR,0,110,114,39,85,0.459,11,32,0.344,21,25,0.84,16,47,30,10,7,27,19,44,95,0.463,14,38,0.368,12,19,0.632,18,40,31,16,10,20,21,0.4615384615384615,2025
2024-11-18,0,ATL,SAC,1,109,108,39,83,0.47,16,38,0.421,15,18,0.833,6,37,34,7,7,14,19,37,85,0.435,20,46,0.435,14,19,0.737,9,45,24,9,4,17,20,0.4285714285714285,2025
2024-11-20,0,ATL,GSW,0,97,120,35,105,0.333,12,45,0.267,15,24,0.625,21,65,27,9,5,17,17,47,101,0.465,14,40,0.35,12,18,0.667,9,54,36,10,7,15,17,0.4666666666666667,2025
2024-11-22,0,ATL,CHI,0,122,136,49,107,0.458,10,34,0.294,14,19,0.737,14,42,32,11,4,11,16,49,86,0.57,19,43,0.442,19,21,0.905,5,41,36,8,10,19,17,0.4375,2025
2024-11-25,1,ATL,DAL,0,119,129,48,101,0.475,9,31,0.29,14,16,0.875,9,39,32,10,6,14,15,47,94,0.5,16,35,0.457,19,22,0.864,10,51,24,6,8,18,13,0.4117647058823529,2025
2024-11-27,0,ATL,CLE,1,135,124,46,97,0.474,20,42,0.476,23,25,0.92,14,51,39,6,6,15,21,44,95,0.463,15,48,0.313,21,28,0.75,12,44,31,11,5,13,21,0.3888888888888889,2025
2024-11-29,1,ATL,CLE,1,117,101,44,85,0.518,14,34,0.412,15,18,0.833,10,53,33,9,5,21,20,38,93,0.409,11,38,0.289,14,17,0.824,11,40,21,9,0,13,22,0.4210526315789473,2025
2024-11-30,0,ATL,CHO,1,107,104,38,78,0.487,10,33,0.303,21,27,0.778,14,49,27,8,7,22,15,35,94,0.372,18,48,0.375,16,19,0.842,18,45,23,13,6,15,23,0.45,2025
2024-12-02,1,ATL,NOP,1,124,112,49,96,0.51,10,38,0.263,16,20,0.8,11,51,30,12,4,18,15,44,100,0.44,13,42,0.31,11,17,0.647,15,41,21,15,5,16,18,0.4761904761904761,2025
2024-12-04,0,ATL,MIL,1,119,104,45,102,0.441,9,32,0.281,20,22,0.909,15,54,29,16,3,14,25,33,78,0.423,15,45,0.333,23,35,0.657,8,40,23,7,4,18,22,0.5,2025
2024-12-06,1,ATL,LAL,1,134,132,50,100,0.5,17,40,0.425,17,22,0.773,11,48,40,10,5,17,24,51,99,0.515,16,35,0.457,14,16,0.875,6,40,33,11,10,15,24,0.5217391304347826,2025
2024-12-08,1,ATL,DEN,0,111,141,41,101,0.406,9,40,0.225,20,27,0.741,19,45,26,12,2,12,22,56,89,0.629,12,27,0.444,17,24,0.708,7,43,43,9,5,20,22,0.5416666666666666,2025
2024-12-11,0,ATL,NYK,1,108,100,43,104,0.413,9,31,0.29,13,20,0.65,22,58,27,5,7,11,13,40,93,0.43,11,42,0.262,9,15,0.6,12,49,27,8,11,15,14,0.52,2025
2024-12-14,0,ATL,MIL,0,102,110,35,82,0.427,10,24,0.417,22,34,0.647,7,44,23,3,6,13,20,39,86,0.453,14,45,0.311,18,27,0.667,6,47,28,8,8,13,27,0.5384615384615384,2025
2024-12-19,0,ATL,SAS,0,126,133,46,97,0.474,16,38,0.421,18,21,0.857,12,53,32,14,6,23,22,49,101,0.485,19,42,0.452,16,23,0.696,8,42,32,15,8,17,15,0.5185185185185185,2025
2024-12-21,1,ATL,MEM,0,112,128,39,80,0.488,14,38,0.368,20,24,0.833,6,41,29,11,6,25,14,50,97,0.515,18,41,0.439,10,13,0.769,8,40,35,13,1,18,22,0.5,2025
2024-12-23,1,ATL,MIN,1,117,104,39,73,0.534,18,36,0.5,21,26,0.808,6,38,27,15,6,23,14,39,91,0.429,14,43,0.326,12,13,0.923,16,43,31,12,3,21,17,0.4827586206896552,2025
2024-12-26,1,ATL,CHI,1,141,133,46,89,0.517,17,45,0.378,32,34,0.941,12,44,32,9,5,14,13,53,98,0.541,22,43,0.512,5,6,0.833,9,36,36,8,1,16,26,0.5,2025
2024-12-28,1,ATL,MIA,1,120,110,44,86,0.512,15,37,0.405,17,22,0.773,9,47,34,7,2,13,16,40,90,0.444,13,41,0.317,17,18,0.944,8,42,23,9,4,9,19,0.5161290322580645,2025
2024-12-29,0,ATL,TOR,1,136,107,46,95,0.484,18,45,0.4,26,35,0.743,14,40,30,22,8,15,19,38,85,0.447,7,24,0.292,24,27,0.889,15,52,26,10,4,31,26,0.53125,2025
2024-10-22,1,BOS,NYK,1,132,109,48,95,0.505,29,61,0.475,7,8,0.875,11,40,33,6,3,4,15,43,78,0.551,11,30,0.367,12,16,0.75,5,34,20,2,3,12,12,0.0,2025
2024-10-24,0,BOS,WAS,1,122,102,42,90,0.467,17,45,0.378,21,27,0.778,12,49,21,7,3,14,19,41,95,0.432,7,36,0.194,13,18,0.722,10,40,27,9,6,15,19,1.0,2025
2024-10-26,0,BOS,DET,1,124,118,38,90,0.422,22,48,0.458,26,30,0.867,13,37,19,10,6,10,16,43,88,0.489,14,39,0.359,18,22,0.818,9,44,27,4,7,15,22,1.0,2025
2024-10-28,1,BOS,MIL,1,119,108,43,87,0.494,18,47,0.383,15,19,0.789,4,38,24,5,5,14,18,37,82,0.451,8,31,0.258,26,31,0.839,8,43,18,7,6,17,24,1.0,2025
2024-10-30,0,BOS,IND,0,132,135,44,109,0.404,19,57,0.333,25,31,0.806,18,51,23,11,5,14,19,50,104,0.481,15,38,0.395,20,24,0.833,16,57,33,10,5,19,26,1.0,2025
2024-11-01,0,BOS,CHO,1,124,109,41,86,0.477,13,42,0.31,29,35,0.829,11,41,21,12,5,10,13,42,91,0.462,19,48,0.396,6,12,0.5,12,42,20,5,5,16,26,0.8,2025
2024-11-02,0,BOS,CHO,1,113,103,36,82,0.439,16,52,0.308,25,28,0.893,8,44,23,4,4,15,17,40,91,0.44,17,42,0.405,6,9,0.667,7,34,24,10,1,13,25,0.8333333333333334,2025
2024-11-04,0,BOS,ATL,1,123,93,48,99,0.485,18,55,0.327,9,13,0.692,11,50,27,15,7,13,14,37,89,0.416,6,31,0.194,13,16,0.813,8,43,23,9,3,20,13,0.8571428571428571,2025
2024-11-06,1,BOS,GSW,0,112,118,38,90,0.422,19,54,0.352,17,21,0.81,13,47,22,5,3,12,18,42,91,0.462,14,34,0.412,20,24,0.833,15,53,22,6,5,11,19,0.875,2025
2024-11-08,1,BOS,BRK,1,108,104,39,90,0.433,14,53,0.264,16,19,0.842,4,39,23,7,9,13,15,41,100,0.41,10,38,0.263,12,15,0.8,12,51,24,6,3,13,22,0.7777777777777778,2025
2024-11-10,0,BOS,MIL,1,113,107,35,86,0.407,19,50,0.38,24,27,0.889,8,42,27,5,2,12,16,39,81,0.481,13,32,0.406,16,21,0.762,5,41,21,9,8,13,18,0.8,2025
2024-11-12,1,BOS,ATL,0,116,117,38,75,0.507,18,45,0.4,22,27,0.815,6,34,28,7,5,20,12,50,99,0.505,10,32,0.313,7,13,0.538,19,44,35,16,2,16,17,0.8181818181818182,2025
2024-11-13,0,BOS,BRK,1,139,114,50,93,0.538,22,46,0.478,17,24,0.708,12,45,35,7,6,8,17,40,79,0.506,19,43,0.442,15,18,0.833,3,34,26,4,3,13,20,0.75,2025
2024-11-16,1,BOS,TOR,1,126,123,44,99,0.444,21,61,0.344,17,19,0.895,14,42,30,2,6,9,20,50,98,0.51,9,23,0.391,14,21,0.667,15,46,35,3,2,9,19,0.7692307692307693,2025
2024-11-19,1,BOS,CLE,1,120,117,44,86,0.512,22,41,0.537,10,14,0.714,9,42,32,4,4,13,19,46,93,0.495,10,29,0.345,15,17,0.882,12,41,30,4,3,7,15,0.7857142857142857,2025
2024-11-22,0,BOS,WAS,1,108,96,36,85,0.424,11,46,0.239,25,32,0.781,10,43,22,11,7,12,19,39,90,0.433,7,28,0.25,11,16,0.688,10,48,19,6,4,20,29,0.8,2025
2024-11-24,1,BOS,MIN,1,107,105,37,87,0.425,21,56,0.375,12,15,0.8,8,40,25,5,7,7,23,37,88,0.42,15,41,0.366,16,21,0.762,11,49,19,2,1,8,18,0.8125,2025
2024-11-25,1,BOS,LAC,1,126,94,45,88,0.511,22,51,0.431,14,20,0.7,8,47,33,10,11,11,12,39,90,0.433,7,26,0.269,9,13,0.692,10,44,18,8,3,14,12,0.8235294117647058,2025
2024-11-29,0,BOS,CHI,1,138,129,49,98,0.5,23,54,0.426,17,23,0.739,11,51,24,6,2,9,13,48,93,0.516,20,51,0.392,13,16,0.813,5,43,28,7,2,8,17,0.8333333333333334,2025
2024-12-01,0,BOS,CLE,0,111,115,38,95,0.4,17,49,0.347,18,19,0.947,10,46,17,11,6,11,19,39,80,0.488,17,36,0.472,20,25,0.8,6,44,22,5,7,18,20,0.8421052631578947,2025
2024-12-02,1,BOS,MIA,1,108,89,39,89,0.438,19,55,0.345,11,13,0.846,14,54,25,5,9,17,20,31,87,0.356,8,35,0.229,19,23,0.826,11,44,24,6,1,10,11,0.8,2025
2024-12-04,1,BOS,DET,1,130,120,45,94,0.479,21,53,0.396,19,25,0.76,14,43,30,11,7,16,14,43,84,0.512,20,39,0.513,14,18,0.778,8,34,27,10,5,19,21,0.8095238095238095,2025
2024-12-06,1,BOS,MIL,1,111,105,40,87,0.46,17,53,0.321,14,16,0.875,7,41,27,5,6,6,18,40,94,0.426,11,29,0.379,14,17,0.824,12,51,16,4,2,9,16,0.8181818181818182,2025
2024-12-07,1,BOS,MEM,0,121,127,42,105,0.4,18,60,0.3,19,28,0.679,15,51,26,6,7,13,16,47,94,0.5,15,33,0.455,18,23,0.783,11,52,25,13,7,13,25,0.8260869565217391,2025
2024-12-12,1,BOS,DET,1,123,99,46,90,0.511,20,48,0.417,11,13,0.846,8,51,34,6,4,14,9,42,98,0.429,7,37,0.189,8,10,0.8,9,43,27,8,4,8,12,0.7916666666666666,2025
2024-12-15,0,BOS,WAS,1,112,98,40,93,0.43,18,46,0.391,14,24,0.583,16,56,26,11,5,18,15,40,99,0.404,13,40,0.325,5,8,0.625,17,51,22,10,7,16,25,0.8,2025
2024-12-19,1,BOS,CHI,0,108,117,38,97,0.392,14,56,0.25,18,21,0.857,11,45,21,6,8,4,13,42,94,0.447,19,52,0.365,14,16,0.875,11,56,23,2,2,12,19,0.8076923076923077,2025
2024-12-21,0,BOS,CHI,1,123,98,48,100,0.48,15,45,0.333,12,14,0.857,17,59,27,8,4,12,12,37,98,0.378,14,41,0.341,10,11,0.909,10,43,28,8,4,13,14,0.7777777777777778,2025
2024-12-23,0,BOS,ORL,0,104,108,37,84,0.44,8,33,0.242,22,27,0.815,8,41,13,13,5,19,16,37,83,0.446,13,33,0.394,21,21,1.0,7,42,26,11,9,20,24,0.7857142857142857,2025
2024-12-25,1,BOS,PHI,0,114,118,43,95,0.453,20,49,0.408,8,13,0.615,13,51,24,3,4,13,18,41,88,0.466,17,40,0.425,19,19,1.0,5,39,28,10,5,6,17,0.7586206896551724,2025
2024-12-27,1,BOS,IND,1,142,105,47,92,0.511,23,56,0.411,25,29,0.862,18,52,31,9,6,10,19,38,91,0.418,11,39,0.282,18,25,0.72,13,39,27,5,3,12,20,0.7333333333333333,2025
2024-12-29,1,BOS,IND,0,114,123,43,93,0.462,16,54,0.296,12,19,0.632,8,41,26,6,6,8,22,46,87,0.529,9,23,0.391,22,27,0.815,11,50,27,6,2,9,17,0.7419354838709677,2025
2024-12-31,1,BOS,TOR,1,125,71,47,87,0.54,22,43,0.512,9,15,0.6,11,49,29,14,7,13,10,27,86,0.314,10,40,0.25,7,11,0.636,14,44,18,8,4,21,16,0.71875,2025
2024-10-23,0,BRK,ATL,0,116,120,40,91,0.44,17,43,0.395,19,25,0.76,12,43,21,8,6,19,32,39,80,0.488,9,28,0.321,33,46,0.717,12,45,25,12,9,16,20,0.0,2025
2024-10-25,0,BRK,ORL,0,101,116,35,83,0.422,14,37,0.378,17,21,0.81,8,37,22,7,3,19,31,39,75,0.52,15,30,0.5,23,33,0.697,5,39,28,10,7,13,19,0.0,2025
2024-10-27,1,BRK,MIL,1,115,102,39,91,0.429,16,45,0.356,21,23,0.913,12,47,23,9,3,12,26,33,74,0.446,10,33,0.303,26,31,0.839,7,43,20,7,3,18,17,0.0,2025
2024-10-29,1,BRK,DEN,0,139,144,49,96,0.51,20,52,0.385,21,27,0.778,7,41,37,4,6,9,32,46,89,0.517,13,27,0.481,39,47,0.83,9,43,31,3,4,5,22,0.3333333333333333,2025
2024-10-30,0,BRK,MEM,1,119,106,41,80,0.513,15,41,0.366,22,25,0.88,8,34,27,10,2,19,25,38,81,0.469,8,27,0.296,22,29,0.759,12,38,27,9,3,22,21,0.25,2025
2024-11-01,1,BRK,CHI,1,120,112,49,94,0.521,11,36,0.306,11,13,0.846,9,46,34,11,6,11,20,38,88,0.432,17,44,0.386,19,24,0.792,10,44,24,5,3,16,15,0.4,2025
2024-11-03,1,BRK,DET,0,92,106,32,71,0.451,9,31,0.29,19,31,0.613,4,27,23,9,3,14,24,37,77,0.481,11,36,0.306,21,26,0.808,9,47,25,4,6,21,25,0.5,2025
2024-11-04,1,BRK,MEM,1,106,104,40,84,0.476,13,36,0.361,13,18,0.722,12,37,28,7,1,14,22,43,91,0.473,8,30,0.267,10,13,0.769,13,44,29,5,8,15,16,0.4285714285714285,2025
2024-11-08,0,BRK,BOS,0,104,108,41,100,0.41,10,38,0.263,12,15,0.8,12,51,24,6,3,13,22,39,90,0.433,14,53,0.264,16,19,0.842,4,39,23,7,9,13,15,0.5,2025
2024-11-09,0,BRK,CLE,0,100,105,34,76,0.447,15,43,0.349,17,18,0.944,10,36,21,4,2,20,14,40,74,0.541,10,28,0.357,15,19,0.789,4,33,24,12,5,16,18,0.4444444444444444,2025
2024-11-11,0,BRK,NOP,1,107,105,36,84,0.429,19,42,0.452,16,19,0.842,14,46,24,4,5,17,14,42,94,0.447,10,30,0.333,11,12,0.917,14,45,31,13,4,11,15,0.4,2025
2024-11-13,1,BRK,BOS,0,114,139,40,79,0.506,19,43,0.442,15,18,0.833,3,34,26,4,3,13,20,50,93,0.538,22,46,0.478,17,24,0.708,12,45,35,7,6,8,17,0.4545454545454545,2025
2024-11-15,0,BRK,NYK,0,122,124,39,89,0.438,19,46,0.413,25,28,0.893,10,37,27,8,2,9,22,44,83,0.53,13,38,0.342,23,28,0.821,8,45,25,7,6,13,21,0.4166666666666667,2025
2024-11-17,0,BRK,NYK,0,104,114,32,76,0.421,17,41,0.415,23,30,0.767,7,35,31,1,3,9,19,43,88,0.489,13,40,0.325,15,19,0.789,10,47,33,4,5,8,23,0.3846153846153846,2025
2024-11-19,1,BRK,CHO,1,116,115,42,85,0.494,18,41,0.439,14,19,0.737,10,36,31,8,8,15,19,38,82,0.463,20,37,0.541,19,22,0.864,13,44,25,6,8,23,20,0.3571428571428571,2025
2024-11-22,0,BRK,PHI,0,98,113,39,79,0.494,13,37,0.351,7,7,1.0,7,34,28,1,4,19,17,41,92,0.446,16,43,0.372,15,20,0.75,15,40,25,13,9,12,16,0.4,2025
2024-11-24,0,BRK,SAC,1,108,103,36,75,0.48,19,39,0.487,17,25,0.68,6,31,24,7,5,14,23,37,77,0.481,9,25,0.36,20,31,0.645,11,44,21,6,6,16,22,0.375,2025
2024-11-25,0,BRK,GSW,1,128,120,41,83,0.494,20,45,0.444,26,30,0.867,7,42,23,6,3,12,18,45,93,0.484,19,46,0.413,11,17,0.647,11,43,32,8,5,13,21,0.4117647058823529,2025
2024-11-27,0,BRK,PHO,1,127,117,44,87,0.506,18,42,0.429,21,22,0.955,7,36,32,8,1,13,24,41,77,0.532,12,31,0.387,23,28,0.821,3,37,25,7,5,17,26,0.4444444444444444,2025
2024-11-29,1,BRK,ORL,0,100,123,38,77,0.494,14,29,0.483,10,14,0.714,5,35,22,5,5,20,21,44,83,0.53,18,35,0.514,17,22,0.773,11,40,29,13,13,17,21,0.4736842105263157,2025
2024-12-01,1,BRK,ORL,0,92,100,30,79,0.38,8,31,0.258,24,31,0.774,8,33,19,10,3,17,31,34,74,0.459,7,28,0.25,25,32,0.781,14,52,23,10,11,22,29,0.45,2025
2024-12-02,0,BRK,CHI,0,102,128,38,95,0.4,14,42,0.333,12,15,0.8,10,41,24,9,5,13,19,48,92,0.522,16,47,0.34,16,19,0.842,11,54,33,8,5,17,16,0.4285714285714285,2025
2024-12-04,1,BRK,IND,1,99,90,35,81,0.432,12,36,0.333,17,23,0.739,7,43,24,12,6,17,18,32,75,0.427,8,33,0.242,18,22,0.818,5,39,20,6,10,16,19,0.4090909090909091,2025
2024-12-08,1,BRK,MIL,0,113,118,41,81,0.506,16,35,0.457,15,16,0.938,7,30,24,9,3,13,25,39,68,0.574,15,31,0.484,25,32,0.781,3,31,26,6,7,16,18,0.4347826086956521,2025
2024-12-13,0,BRK,MEM,0,119,135,42,92,0.457,20,53,0.377,15,19,0.789,8,41,30,9,7,18,20,52,99,0.525,17,36,0.472,14,21,0.667,12,49,33,9,4,13,19,0.4166666666666667,2025
2024-12-16,1,BRK,CLE,0,101,130,34,81,0.42,14,34,0.412,19,24,0.792,9,35,25,11,2,22,28,43,81,0.531,19,47,0.404,25,29,0.862,12,42,33,14,6,17,19,0.4,2025
2024-12-19,0,BRK,TOR,1,101,94,33,82,0.402,9,39,0.231,26,31,0.839,15,53,18,3,6,17,21,34,86,0.395,15,44,0.341,11,14,0.786,10,34,26,6,4,12,29,0.3846153846153846,2025
2024-12-21,1,BRK,UTA,0,94,105,38,94,0.404,7,40,0.175,11,12,0.917,16,50,24,9,3,19,17,41,86,0.477,14,41,0.341,9,17,0.529,10,45,25,11,8,18,16,0.4074074074074074,2025
2024-12-23,0,BRK,MIA,0,95,110,33,84,0.393,13,34,0.382,16,20,0.8,11,42,23,9,2,15,18,36,73,0.493,17,41,0.415,21,24,0.875,5,44,27,6,3,16,17,0.3928571428571428,2025
2024-12-26,0,BRK,MIL,1,111,105,39,82,0.476,16,38,0.421,17,22,0.773,9,38,25,8,1,21,11,41,83,0.494,15,38,0.395,8,12,0.667,8,39,23,12,3,23,18,0.3793103448275862,2025
2024-12-27,1,BRK,SAS,0,87,96,35,90,0.389,12,41,0.293,5,8,0.625,12,45,22,8,4,18,22,32,78,0.41,12,28,0.429,20,27,0.741,11,43,26,10,8,15,11,0.4,2025
2024-12-29,0,BRK,ORL,0,101,102,32,73,0.438,13,30,0.433,24,28,0.857,9,38,22,7,3,17,19,37,83,0.446,12,36,0.333,16,25,0.64,16,42,30,7,3,13,23,0.3870967741935484,2025
2024-10-23,0,CHO,HOU,1,110,105,38,85,0.447,15,39,0.385,19,24,0.792,15,56,20,6,10,17,21,38,103,0.369,13,43,0.302,16,20,0.8,16,43,19,8,4,8,18,0.0,2025
2024-10-25,0,CHO,ATL,0,120,125,37,96,0.385,21,51,0.412,25,31,0.806,22,53,22,7,4,18,28,39,81,0.481,14,38,0.368,33,38,0.868,7,39,25,11,9,14,28,1.0,2025
2024-10-26,1,CHO,MIA,0,106,114,39,89,0.438,13,41,0.317,15,21,0.714,15,46,20,6,5,20,24,40,86,0.465,14,34,0.412,20,28,0.714,13,43,33,8,6,14,19,0.5,2025
2024-10-30,1,CHO,TOR,1,138,133,49,94,0.521,20,45,0.444,20,25,0.8,14,38,31,9,8,16,24,52,91,0.571,9,28,0.321,20,30,0.667,13,41,37,9,5,14,25,0.3333333333333333,2025
2024-11-01,1,CHO,BOS,0,109,124,42,91,0.462,19,48,0.396,6,12,0.5,12,42,20,5,5,16,26,41,86,0.477,13,42,0.31,29,35,0.829,11,41,21,12,5,10,13,0.5,2025
2024-11-02,1,CHO,BOS,0,103,113,40,91,0.44,17,42,0.405,6,9,0.667,7,34,24,10,1,13,25,36,82,0.439,16,52,0.308,25,28,0.893,8,44,23,4,4,15,17,0.4,2025
2024-11-04,0,CHO,MIN,0,93,114,35,88,0.398,10,42,0.238,13,16,0.813,9,38,19,10,1,14,22,39,79,0.494,18,38,0.474,18,26,0.692,9,45,23,7,8,15,19,0.3333333333333333,2025
2024-11-06,1,CHO,DET,1,108,107,39,90,0.433,14,44,0.318,16,16,1.0,8,47,22,5,4,12,16,46,94,0.489,10,32,0.313,5,9,0.556,6,46,34,5,4,11,20,0.2857142857142857,2025
2024-11-08,1,CHO,IND,1,103,83,38,90,0.422,17,50,0.34,10,12,0.833,13,56,23,6,7,15,16,33,83,0.398,9,29,0.31,8,14,0.571,7,37,24,10,4,14,16,0.375,2025
2024-11-10,0,CHO,PHI,0,105,107,36,95,0.379,14,54,0.259,19,22,0.864,12,50,22,10,5,21,22,39,84,0.464,9,33,0.273,20,26,0.769,8,40,24,8,1,17,23,0.4444444444444444,2025
2024-11-12,0,CHO,ORL,0,89,114,34,84,0.405,13,38,0.342,8,14,0.571,8,48,22,7,3,22,18,43,93,0.462,13,44,0.295,15,19,0.789,8,43,25,12,7,11,21,0.4,2025
2024-11-16,1,CHO,MIL,1,115,114,41,93,0.441,15,42,0.357,18,21,0.857,16,53,25,7,4,10,16,47,92,0.511,15,36,0.417,5,11,0.455,8,40,31,6,6,9,18,0.3636363636363636,2025
2024-11-17,0,CHO,CLE,0,114,128,42,103,0.408,20,52,0.385,10,12,0.833,17,40,34,12,6,10,23,44,77,0.571,13,30,0.433,27,28,0.964,9,48,26,3,4,20,15,0.4166666666666667,2025
2024-11-19,0,CHO,BRK,0,115,116,38,82,0.463,20,37,0.541,19,22,0.864,13,44,25,6,8,23,20,42,85,0.494,18,41,0.439,14,19,0.737,10,36,31,8,8,15,19,0.3846153846153846,2025
2024-11-21,1,CHO,DET,1,123,121,44,93,0.473,20,44,0.455,15,21,0.714,11,43,23,12,5,16,22,42,99,0.424,17,48,0.354,20,25,0.8,21,56,30,8,3,19,23,0.3571428571428571,2025
2024-11-23,0,CHO,MIL,0,119,125,41,100,0.41,19,47,0.404,18,21,0.857,14,48,22,6,5,10,21,43,89,0.483,18,37,0.486,21,26,0.808,10,51,20,3,9,14,22,0.4,2025
2024-11-25,1,CHO,ORL,0,84,95,31,75,0.413,7,32,0.219,15,19,0.789,13,52,14,6,5,27,20,37,94,0.394,12,46,0.261,9,17,0.529,13,39,21,12,6,8,21,0.375,2025
2024-11-27,1,CHO,MIA,0,94,98,37,98,0.378,17,51,0.333,3,8,0.375,16,43,22,10,5,13,19,33,73,0.452,14,37,0.378,18,22,0.818,4,44,21,6,5,22,9,0.3529411764705882,2025
2024-11-29,1,CHO,NYK,0,98,99,36,89,0.404,15,47,0.319,11,15,0.733,14,39,25,8,6,15,19,36,81,0.444,12,32,0.375,15,19,0.789,12,44,20,7,5,21,19,0.3333333333333333,2025
2024-11-30,1,CHO,ATL,0,104,107,35,94,0.372,18,48,0.375,16,19,0.842,18,45,23,13,6,15,23,38,78,0.487,10,33,0.303,21,27,0.778,14,49,27,8,7,22,15,0.3157894736842105,2025
2024-12-03,1,CHO,PHI,0,104,110,34,77,0.442,13,34,0.382,23,28,0.821,15,47,22,5,3,19,17,38,82,0.463,16,40,0.4,18,20,0.9,8,31,26,9,3,12,22,0.3,2025
2024-12-05,0,CHO,NYK,0,101,125,40,89,0.449,15,39,0.385,6,10,0.6,10,40,27,3,4,11,22,41,76,0.539,18,33,0.545,25,32,0.781,6,43,29,7,4,9,13,0.2857142857142857,2025
2024-12-07,1,CHO,CLE,0,102,116,37,86,0.43,11,39,0.282,17,19,0.895,10,37,21,6,5,11,27,42,84,0.5,14,38,0.368,18,24,0.75,14,47,28,6,6,12,20,0.2727272727272727,2025
2024-12-08,0,CHO,IND,1,113,109,40,78,0.513,14,29,0.483,19,26,0.731,10,45,24,11,3,25,18,42,82,0.512,12,36,0.333,13,15,0.867,3,29,23,9,7,17,19,0.2608695652173913,2025
2024-12-13,0,CHO,CHI,0,95,109,35,98,0.357,8,46,0.174,17,21,0.81,17,54,22,7,5,17,20,37,93,0.398,14,51,0.275,21,25,0.84,14,52,27,12,11,16,19,0.2916666666666667,2025
2024-12-16,1,CHO,PHI,0,108,121,42,83,0.506,12,38,0.316,12,21,0.571,9,38,30,12,8,20,27,41,80,0.513,16,38,0.421,23,30,0.767,9,42,21,14,4,20,20,0.28,2025
2024-12-19,0,CHO,WAS,0,114,123,43,106,0.406,8,43,0.186,20,27,0.741,22,52,30,12,2,8,21,41,83,0.494,17,42,0.405,24,31,0.774,12,52,33,5,8,18,18,0.2692307692307692,2025
2024-12-20,0,CHO,PHI,0,98,108,36,78,0.462,10,31,0.323,16,21,0.762,13,44,22,7,4,17,19,41,83,0.494,12,33,0.364,14,18,0.778,11,39,30,14,6,15,21,0.2592592592592592,2025
