Date,Home,Team,Opp,Win Percentage,Rolling Points Scored Average,Rolling FG Average,Rolling FGA Average,Rolling FG% Average,Rolling 3P Average,Rolling 3PA Average,Rolling 3P% Average,Rolling FT Average,Rolling FTA Average,Rolling FT% Average,Rolling ORB Average,Rolling TRB Average,Rolling AST Average,Rolling STL Average,Rolling BLK Average,Rolling TOV Average,Rolling PF Average,Rolling Opp Points Scored Average,Rolling Opp FG Average,Rolling Opp FGA Average,Rolling Opp FG% Average,Rolling Opp 3P Average,Rolling Opp 3PA Average,Rolling Opp 3P% Average,Rolling Opp FT Average,Rolling Opp FTA Average,Rolling Opp FT% Average,Rolling Opp ORB Average,Rolling Opp TRB Average,Rolling Opp AST Average,Rolling Opp STL Average,Rolling Opp BLK Average,Rolling Opp TOV Average,Rolling Opp PF Average,Opp Win Percentage
2025-01-01,0,ATL,DEN,0.4444444444444444,118.37037037037037,43.08641975308642,92.53086419753086,0.4667654320987654,13.74074074074074,37.72839506172839,0.3645432098765432,18.45679012345679,23.19753086419753,0.7926666666666667,12.530864197530864,44.82716049382716,26.604938271604937,7.518518518518518,4.493827160493828,13.493827160493828,18.641975308641975,114.71604938271605,44.0,88.76543209876543,0.49677777777777776,11.679012345679013,31.160493827160494,0.3737654320987654,15.037037037037036,19.77777777777778,0.7585555555555555,10.679012345679013,44.32098765432099,29.419753086419753,7.111111111111111,5.580246913580247,12.567901234567902,18.17283950617284,0.691358024691358
2025-01-01,1,MIA,NOP,0.5555555555555556,110.04938271604938,39.75308641975309,85.61728395061728,0.46467901234567904,12.506172839506172,33.69135802469136,0.37148148148148147,18.037037037037038,22.061728395061728,0.8158395061728395,9.296296296296296,42.24691358024691,25.765432098765434,7.45679012345679,3.3703703703703702,12.580246913580247,17.271604938271604,115.1604938271605,42.50617283950617,87.39506172839506,0.4868888888888889,12.444444444444445,32.54320987654321,0.37780246913580245,17.703703703703702,22.950617283950617,0.7706543209876543,10.395061728395062,44.02469135802469,26.962962962962962,8.345679012345679,4.654320987654321,12.938271604938272,18.40740740740741,0.6049382716049383
2025-01-01,0,DAL,HOU,0.6172839506172839,118.24691358024691,43.24691358024691,89.5679012345679,0.483358024691358,14.679012345679013,39.54320987654321,0.36901234567901237,17.074074074074073,22.530864197530864,0.7523086419753087,9.691358024691358,42.96296296296296,25.765432098765434,6.851851851851852,4.987654320987654,12.493827160493828,18.333333333333332,114.30864197530865,41.666666666666664,90.81481481481481,0.4591604938271605,12.74074074074074,36.123456790123456,0.3528395061728395,18.234567901234566,23.48148148148148,0.7744197530864197,11.395061728395062,45.28395061728395,24.74074074074074,7.802469135802469,4.530864197530864,12.679012345679013,20.85185185185185,0.4938271604938271
2025-01-01,1,NYK,UTA,0.6049382716049383,112.70370370370371,41.22222222222222,88.65432098765432,0.46581481481481485,13.222222222222221,35.851851851851855,0.36939506172839504,17.037037037037038,21.82716049382716,0.7820864197530863,12.62962962962963,45.074074074074076,24.333333333333332,7.469135802469136,4.074074074074074,13.135802469135802,17.65432098765432,115.65432098765432,41.93827160493827,89.90123456790124,0.4670246913580247,12.91358024691358,36.53086419753087,0.35240740740740745,18.864197530864196,22.679012345679013,0.8338641975308643,12.197530864197532,45.41975308641975,27.28395061728395,6.555555555555555,5.592592592592593,15.617283950617283,18.555555555555557,0.382716049382716
2025-01-01,0,CHI,WAS,0.4814814814814814,112.18518518518519,41.96296296296296,89.35802469135803,0.47118518518518515,11.518518518518519,32.08641975308642,0.3581234567901235,16.74074074074074,21.17283950617284,0.7924938271604938,11.123456790123457,43.81481481481482,24.97530864197531,7.691358024691358,4.827160493827161,12.246913580246913,18.765432098765434,113.64197530864197,42.888888888888886,91.23456790123457,0.4707777777777778,12.358024691358025,35.51851851851852,0.3472345679012346,15.506172839506172,20.333333333333332,0.7622345679012346,9.222222222222221,41.135802469135804,27.839506172839506,7.580246913580247,5.074074074074074,14.012345679012345,20.012345679012345,0.1851851851851851
2025-01-01,1,DET,ORL,0.1728395061728395,110.06172839506173,40.95061728395062,88.19753086419753,0.46487654320987654,11.08641975308642,31.71604938271605,0.3500987654320988,17.074074074074073,21.728395061728396,0.7854320987654321,10.493827160493828,43.370370370370374,25.567901234567902,6.469135802469136,4.703703703703703,15.234567901234568,20.728395061728396,110.4320987654321,40.44444444444444,84.92592592592592,0.4775679012345679,11.012345679012345,31.271604938271604,0.3527037037037037,18.530864197530864,24.48148148148148,0.7563703703703704,10.54320987654321,42.2962962962963,24.641975308641975,8.123456790123457,5.160493827160494,14.716049382716049,19.753086419753085,0.5679012345679012
2025-01-01,0,BRK,TOR,0.3950617283950617,110.66666666666667,40.76543209876543,89.18518518518519,0.45798765432098765,13.333333333333334,36.74074074074074,0.36301234567901236,15.802469135802468,20.91358024691358,0.7619012345679013,11.530864197530864,44.08641975308642,25.71604938271605,6.765432098765432,5.160493827160494,13.123456790123457,18.54320987654321,112.46913580246914,42.32098765432099,89.70370370370371,0.4722716049382716,11.518518518518519,33.06172839506173,0.34682716049382717,16.308641975308642,21.617283950617285,0.7562839506172839,10.839506172839506,42.67901234567901,28.54320987654321,7.753086419753086,4.753086419753086,13.925925925925926,18.37037037037037,0.3086419753086419
2025-01-01,0,PHI,SAC,0.5679012345679012,114.69135802469135,41.51851851851852,89.32098765432099,0.46592592592592597,12.074074074074074,33.19753086419753,0.3605555555555555,19.580246913580247,23.691358024691358,0.8243086419753087,11.024691358024691,42.77777777777778,24.82716049382716,8.469135802469136,6.0,11.975308641975309,20.395061728395063,116.50617283950618,43.333333333333336,90.96296296296296,0.4765061728395062,14.382716049382717,39.32098765432099,0.3653950617283951,15.45679012345679,20.77777777777778,0.7393827160493828,10.802469135802468,43.901234567901234,28.333333333333332,7.580246913580247,4.148148148148148,13.135802469135802,19.91358024691358,0.5555555555555556
2025-01-02,0,LAC,OKC,0.6296296296296297,115.75308641975309,42.370370370370374,86.46913580246914,0.49030864197530866,12.691358024691358,33.111111111111114,0.3844814814814815,18.320987654320987,22.22222222222222,0.8293456790123458,9.950617283950617,42.864197530864196,25.604938271604937,7.7407407407407405,5.0,13.160493827160494,18.580246913580247,119.90123456790124,44.4320987654321,89.22222222222223,0.499320987654321,13.283950617283951,34.20987654320987,0.3869012345679012,17.753086419753085,21.51851851851852,0.8298888888888889,8.777777777777779,41.839506172839506,26.97530864197531,8.493827160493828,6.567901234567901,12.641975308641975,18.864197530864196,0.691358024691358
2025-01-02,0,BRK,MIL,0.3950617283950617,110.66666666666667,40.76543209876543,89.18518518518519,0.45798765432098765,13.333333333333334,36.74074074074074,0.36301234567901236,15.802469135802468,20.91358024691358,0.7619012345679013,11.530864197530864,44.08641975308642,25.71604938271605,6.765432098765432,5.160493827160494,13.123456790123457,18.54320987654321,119.35802469135803,43.30864197530864,88.67901234567901,0.48909876543209874,14.271604938271604,38.20987654320987,0.3740864197530864,18.469135802469136,23.91358024691358,0.7692222222222223,9.444444444444445,44.2962962962963,26.666666666666668,6.765432098765432,5.049382716049383,12.864197530864198,19.209876543209877,0.6049382716049383
